query_id,query_hash,num_permanent_tables_accessed,target_table_ids,source_num_joins,source_mbytes_scanned,relative_selectivity,gen_status
q44.sql,4f0e9f89,2,"1,4",1,0.008,0.1,ok
q45.sql,5616cd25,5,"1,2,5,6,7",4,14.332,0.1,ok
q46.sql,ae096376,8,"1,2,3,4,5,6,7,8",8,2.264,0.1,timeout
q47.sql,8c2eaef8,4,"2,5,7,8",3,39.357,0.1,ok
q48.sql,aee010ea,5,"1,2,5,7,8",4,51.182,0.1,ok
q49.sql,a59d9c58,8,"1,2,3,4,5,6,7,8",10,4.562,0.1,timeout
q50.sql,ba226cd6,5,"1,2,5,7,8",4,41.494,0.1,ok
q51.sql,3b69da5e,3,"1,2,5",2,11.54,0.1,ok
q52.sql,115e0236,3,"2,5,7",2,39.356,0.1,ok
q53.sql,6986198a,6,"1,2,3,6,7,8",5,38.923,0.1,ok
q54.sql,4469341f,8,"1,2,3,4,5,6,7,8",7,3.543,0.1,timeout
q55.sql,d9f547e1,3,"1,2,6",2,39.356,0.1,ok
q56.sql,ed9c7713,4,"1,2,5,7",3,40.106,0.1,ok
q57.sql,9cad653a,4,"1,3,4,6",3,22.101,0.1,ok
q58.sql,62d1ac1e,3,"2,5,7",2,39.356,0.1,ok
q59.sql,8cf8dbf0,2,"2,5",1,38.906,0.1,ok
q60.sql,0fdd3dc9,4,"2,5,7,8",3,40.106,0.1,ok
q61.sql,c76e1999,7,"1,2,3,4,6,7,8",6,4.27,0.1,ok
q62.sql,acf0da5e,8,"1,2,3,4,5,6,7,8",7,11.533,0.1,timeout
q63.sql,f1c44a37,6,"1,2,5,6,7,8",5,38.923,0.1,ok
q64.sql,e0f1009d,2,"1,4",1,21.478,0.1,ok
q65.sql,d8275c4d,7,"1,2,4,5,6,7,8",6,1.935,0.1,ok
q66.sql,5011b194,8,"1,2,3,4,5,6,7,8",36,2.044,0.1,timeout
q67.sql,4e041628,8,"1,2,3,4,5,6,7,8",9,0.072,0.1,ok
q68.sql,883e04d7,8,"1,2,3,4,5,6,7,8",9,2.264,0.1,timeout
q69.sql,a592805f,3,"1,3,6",2,13.875,0.1,error
q70.sql,3d8e8fc4,3,"1,2,4",2,38.907,0.1,ok
q71.sql,c4eff5ed,6,"2,3,5,6,7,8",5,1.935,0.1,ok
q72.sql,180b149c,8,"1,2,3,4,5,6,7,8",10,70.187,0.1,ok
q73.sql,de68a7ce,6,"3,4,5,6,7,8",5,1.506,0.1,ok
q74.sql,39f5deb8,3,"2,5,7",2,40.506,0.1,ok
q75.sql,13bdbc67,8,"1,2,3,4,5,6,7,8",17,6.489,0.1,timeout
q76.sql,ef822f05,8,"1,2,3,4,5,6,7,8",7,1.943,0.1,timeout
q77.sql,49483ed0,5,"2,5,6,7,8",4,38.923,0.1,ok
q78.sql,cd63f139,8,"1,2,3,4,5,6,7,8",8,16.078,0.1,ok
q79.sql,a56e13f3,8,"1,2,3,4,5,6,7,8",7,1.506,0.1,ok
q80.sql,cd20cd0d,4,"1,2,6,7",3,41.975,0.1,ok
q81.sql,82c91199,3,"5,7,8",2,3.508,0.1,ok
q82.sql,8cd089e6,4,"1,2,5,7",3,74.591,0.1,ok
q83.sql,46dd196f,3,"1,4,6",2,4.499,0.1,ok
q84.sql,8b2d8f24,6,"1,2,3,5,6,7",5,16.491,0.1,error
q85.sql,2358542e,8,"1,2,3,4,5,6,7,8",7,24.454,0.1,error
q86.sql,549732a5,3,"5,7,8",2,11.982,0.1,ok
q87.sql,ab96975a,5,"3,4,6,7,8",4,3.077,0.1,ok
q88.sql,e9d2a34e,4,"3,6,7,8",3,0.548,0.1,ok
q89.sql,6ed7b523,8,"1,2,3,4,5,6,7,8",13,38.963,0.1,ok
q90.sql,41ee23ab,4,"1,6,7,8",3,0.548,0.1,ok
q91.sql,ce3144d4,7,"1,3,4,5,6,7,8",6,16.669,0.1,error
q92.sql,79472b45,3,"5,7,8",2,11.982,0.1,ok
q93.sql,a04f1aa1,5,"1,3,4,6,7",4,2.612,0.1,ok
q94.sql,8c0402b9,4,"1,2,5,6",3,12.283,0.1,ok
q95.sql,2c6645f4,2,"2,5",1,10.071,0.1,ok
q96.sql,16007ae6,4,"1,2,4,5",3,37.993,0.1,ok
q97.sql,9972eb34,3,"1,2,6",2,38.914,0.1,ok
q98.sql,7e25f42d,3,"1,2,4",2,39.356,0.1,ok
q99.sql,7a52b0de,8,"1,2,3,4,5,6,7,8",7,21.651,0.1,ok
