query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg
19b.sql,412d7fc0,10,"1,2,4,5,7,8,10,12,16,18",9,655.805,934.07,1,ok,
19c.sql,47287437,10,"1,2,4,5,7,8,10,12,16,18",9,655.805,1928.7,1,ok,
19d.sql,0f9bc21a,10,"1,2,4,5,7,8,10,12,16,18",9,655.805,2325.42,1,ok,
1a.sql,68f9eccf,5,"7,8,9,16,21",4,62.253,130.18,1,ok,
1b.sql,7d789e98,5,"7,8,9,16,21",4,62.253,85.35,1,ok,
1c.sql,91569977,5,"7,8,9,16,21",4,62.253,85.39,1,ok,
1d.sql,30f2a62e,5,"7,8,9,16,21",4,62.253,110.52,1,ok,
20a.sql,f8d43178,9,"1,3,4,5,8,13,14,19,20",9,340.237,1394.55,1,ok,
20b.sql,5bf27ed4,9,"1,3,4,5,8,13,14,19,20",9,340.237,1024.79,1,ok,
20c.sql,e5eb1499,9,"1,3,4,5,8,13,14,19,20",9,340.237,960.24,1,ok,
21a.sql,335022c9,9,"2,3,7,8,12,14,15,17,21",8,365.042,148.07,1,ok,
21b.sql,11c9f2e7,9,"2,3,7,8,12,14,15,17,21",8,365.042,132.97,1,ok,
21c.sql,8e1bd96d,9,"2,3,7,8,12,14,15,17,21",8,365.042,119.82,1,ok,
22a.sql,9da0cee7,10,"2,3,7,8,9,12,14,16,19,21",10,375.963,709.49,1,ok,
22b.sql,2738c0d8,10,"2,3,7,8,9,12,14,16,19,21",10,375.963,612.18,1,ok,
22c.sql,508652ef,10,"2,3,7,8,9,12,14,16,19,21",10,375.963,1794.71,1,ok,
22d.sql,05afdd3c,10,"2,3,7,8,9,12,14,16,19,21",10,375.963,2854.73,1,ok,
23a.sql,28316b91,11,"2,3,7,8,12,13,14,16,19,20,21",10,365.463,657.26,1,ok,
23b.sql,ebfcac9b,11,"2,3,7,8,12,13,14,16,19,20,21",10,365.463,390.96,1,ok,
23c.sql,fb992704,11,"2,3,7,8,12,13,14,16,19,20,21",10,365.463,678.59,1,ok,
24a.sql,5fd8d117,12,"1,2,3,4,5,7,8,10,12,14,16,18",11,670.451,1374.07,1,ok,
24b.sql,580b1b96,12,"1,2,3,4,5,7,8,10,12,14,16,18",11,670.451,376.6,1,ok,
25a.sql,2cfd5e4e,8,"1,2,3,4,8,9,14,16",8,616.048,1366.11,1,ok,
25b.sql,28979637,8,"1,2,3,4,8,9,14,16",8,616.048,336.08,1,ok,
25c.sql,4c9a6361,8,"1,2,3,4,8,9,14,16",8,616.048,1509.64,1,ok,
26a.sql,b96613a8,11,"1,3,4,5,8,9,13,14,16,19,20",11,351.278,835.5,1,ok,
26b.sql,76ec83a7,11,"1,3,4,5,8,9,13,14,16,19,20",11,351.278,330.95,1,ok,
26c.sql,892c9766,11,"1,3,4,5,8,9,13,14,16,19,20",11,351.278,956.42,1,ok,
27a.sql,16265c48,11,"2,3,7,8,12,13,14,15,17,20,21",11,365.583,102.37,1,ok,
27b.sql,9205eb46,11,"2,3,7,8,12,13,14,15,17,20,21",11,365.583,79.19,1,ok,
27c.sql,fe6f0495,11,"2,3,7,8,12,13,14,15,17,20,21",11,365.583,77.21,1,ok,
28a.sql,809a6fd1,12,"2,3,7,8,9,12,13,14,16,19,20,21",13,376.503,1963.96,1,ok,
28b.sql,d5679897,12,"2,3,7,8,9,12,13,14,16,19,20,21",13,376.503,803.85,1,ok,
28c.sql,64a96015,12,"2,3,7,8,9,12,13,14,16,19,20,21",13,376.503,1108.3,1,ok,
29a.sql,db832029,15,"1,2,3,4,5,6,7,8,10,12,13,14,16,18,20",16,745.083,356.04,1,ok,
29b.sql,40c25ddc,15,"1,2,3,4,5,6,7,8,10,12,13,14,16,18,20",16,745.083,383.37,1,ok,
29c.sql,8a55e02e,15,"1,2,3,4,5,6,7,8,10,12,13,14,16,18,20",16,745.083,582.55,1,ok,
2a.sql,840ff0c2,5,"3,7,8,12,14",4,68.208,230.16,1,ok,
2b.sql,9a814906,5,"3,7,8,12,14",4,68.208,110.99,1,ok,
2c.sql,25d55bbe,5,"3,7,8,12,14",4,68.208,106.38,1,ok,
2d.sql,d4024b14,5,"3,7,8,12,14",4,68.208,581.56,1,ok,
30a.sql,4f0e5d96,10,"1,2,3,4,8,9,13,14,16,20",11,616.589,1863.72,1,ok,
30b.sql,41e56efc,10,"1,2,3,4,8,9,13,14,16,20",11,616.589,688.06,1,ok,
30c.sql,22c86934,10,"1,2,3,4,8,9,13,14,16,20",11,616.589,1702.72,1,ok,
31a.sql,19e3cbf1,10,"1,2,3,4,7,8,9,12,14,16",10,639.271,1661.35,1,ok,
31b.sql,35fcc932,10,"1,2,3,4,7,8,9,12,14,16",10,639.271,930.73,1,ok,
31c.sql,588bd257,10,"1,2,3,4,7,8,9,12,14,16",10,639.271,1209.59,1,ok,
32a.sql,3bdb3bad,5,"3,8,14,15,17",5,45.105,21.57,1,ok,
32b.sql,dced393c,5,"3,8,14,15,17",5,45.105,76.21,1,ok,
33a.sql,60e32338,8,"7,8,9,12,15,16,17,19",13,64.723,122.45,1,ok,
33b.sql,09255b59,8,"7,8,9,12,15,16,17,19",13,64.723,121.89,1,ok,
33c.sql,1ed5e57b,8,"7,8,9,12,15,16,17,19",13,64.723,170.27,1,ok,
3a.sql,e54a7e1d,4,"2,3,8,14",3,341.699,595.51,1,ok,
3b.sql,c3b037bb,4,"2,3,8,14",3,341.699,362.89,1,ok,
3c.sql,fe3aa288,4,"2,3,8,14",3,341.699,961.78,1,ok,
4a.sql,206ec6c3,5,"3,8,9,14,16",4,56.026,922.6,1,ok,
4b.sql,940777f9,5,"3,8,9,14,16",4,56.026,194.25,1,ok,
4c.sql,15e5539a,5,"3,8,9,14,16",4,56.026,1076.3,1,ok,
5a.sql,048f19ff,5,"2,7,8,16,21",4,347.928,258.35,1,ok,
5b.sql,0ab0ed4a,5,"2,7,8,16,21",4,347.928,491.79,1,ok,
5c.sql,f5482cfa,5,"2,7,8,16,21",4,347.928,493.3,1,ok,
6a.sql,c44094c4,5,"1,3,4,8,14",4,308.293,807.82,1,ok,
6b.sql,ac681cba,5,"1,3,4,8,14",4,308.293,544.83,1,ok,
6c.sql,e6a499f7,5,"1,3,4,8,14",4,308.293,839.96,1,ok,
6d.sql,176ee13d,5,"1,3,4,8,14",4,308.293,967.58,1,ok,
6e.sql,84a04d1b,5,"1,3,4,8,14",4,308.293,915.82,1,ok,
6f.sql,d423e118,5,"1,3,4,8,14",4,308.293,2671.84,1,ok,
7a.sql,c33a705c,8,"1,4,6,8,10,15,16,17",7,378.676,166.32,1,ok,
7b.sql,479089b0,8,"1,4,6,8,10,15,16,17",7,378.676,92.06,1,ok,
7c.sql,86e95064,8,"1,4,6,8,10,15,16,17",7,378.676,5048.98,1,ok,
8a.sql,6fbc32b7,7,"1,4,7,8,10,12,18",6,327.687,266.82,1,ok,
8b.sql,add03255,7,"1,4,7,8,10,12,18",6,327.687,398.75,1,ok,
8c.sql,a65a12dd,7,"1,4,7,8,10,12,18",6,327.687,2796.47,1,ok,
8d.sql,cc04f064,7,"1,4,7,8,10,12,18",6,327.687,598.03,1,ok,
9a.sql,dbe9815e,8,"1,4,5,7,8,10,12,18",7,359.091,589.2,1,ok,
9b.sql,c8c876e8,8,"1,4,5,7,8,10,12,18",7,359.091,349.28,1,ok,
9c.sql,bb339d1f,8,"1,4,5,7,8,10,12,18",7,359.091,541.57,1,ok,
9d.sql,e3db8c32,8,"1,4,5,7,8,10,12,18",7,359.091,1929.6,1,ok,
fkindexes.sql,8b4e0e16,0,,0,0.0,10.95,,error,"Invalid Input Error: Cannot execute statement of type ""CREATE"" on database ""imdb"" which is attached in read-only mode!"
schema.sql,ff1329fb,0,,0,0.0,4.04,,error,"Invalid Input Error: Cannot execute statement of type ""CREATE"" on database ""imdb"" which is attached in read-only mode!"
